14:43:59 = EXECUTE_COMMAND_FAILED|1530686639663|Error|Execute Command Failed|execute[LoginUser.java:96]<-execute[Executor.java:45]<-execute[ServerExecutor.java:15]<-run[ServerConnection.java:381]|Reply of QueryUser is NULL
14:44:48 = CLIENT_CONNECTION_RUNNING_FAILED|1530686688489|Error|Error occurs in Client Connection Running|run[ClientConnection.java:473]|java.net.SocketException: Connection reset
14:44:48 = COMMUNICATOR_CONNECTION_CLOSED|1530686688489|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
14:51:03 = RECEIVE_OVER_TIME|1530687063948|Error|Too long to Receive Info|execute[SWRE.java:90]<-execute[SWRE.java:104]<-actionPerformed[MainForm.java:212]|You can check Your net make sure you and Server in a same LAN
14:52:26 = SEND_OVER_TIME|1530687146325|Error|Too long to Send Info|execute[SWRE.java:84]<-execute[SWRE.java:104]<-execute[LoginUser.java:94]<-execute[Executor.java:45]<-execute[ServerExecutor.java:15]<-run[ServerConnection.java:381]|You can check Your net make sure you and Server in a same LAN
14:52:26 = EXECUTE_COMMAND_FAILED|1530687146325|Error|Execute Command Failed|execute[LoginUser.java:96]<-execute[Executor.java:45]<-execute[ServerExecutor.java:15]<-run[ServerConnection.java:381]|Reply of QueryUser is NULL
14:53:32 = SERVER_CONNECTION_RUNNING_FAILED|1530687212151|Error|Error occurs in Server Connection Running|run[ServerConnection.java:449]|java.net.SocketException: Connection reset
14:53:32 = COMMUNICATOR_CONNECTION_CLOSED|1530687212152|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
15:12:23 = RECEIVE_OVER_TIME|1530688343832|Error|Too long to Receive Info|execute[SWRE.java:90]<-execute[SWRE.java:104]<-loadDepotCFG[CFGFile.java:1044]<-loadCFG[CFGFile.java:46]<-run[MainProcess.java:71]|You can check Your net make sure you and Server in a same LAN
15:15:22 = RECEIVE_OVER_TIME|1530688522917|Error|Too long to Receive Info|execute[SWRE.java:90]<-execute[SWRE.java:104]<-loadDepotCFG[CFGFile.java:1044]<-loadCFG[CFGFile.java:46]<-run[MainProcess.java:71]|You can check Your net make sure you and Server in a same LAN
15:29:37 = RECEIVE_OVER_TIME|1530689377077|Error|Too long to Receive Info|execute[SWRE.java:90]<-execute[SWRE.java:104]<-actionPerformed[MainForm.java:212]|You can check Your net make sure you and Server in a same LAN
15:30:45 = CLIENT_CONNECTION_RUNNING_FAILED|1530689445266|Error|Error occurs in Client Connection Running|run[ClientConnection.java:473]|java.net.SocketException: Connection reset
15:30:45 = COMMUNICATOR_CONNECTION_CLOSED|1530689445266|Error|Connection is Closed|run[MainProcess.java:147]|Server[Remote Machine] Closed
15:46:04 = RECEIVE_OVER_TIME|1530690364448|Error|Too long to Receive Info|execute[SWRE.java:90]<-execute[SWRE.java:104]<-actionPerformed[MainForm.java:212]|You can check Your net make sure you and Server in a same LAN
15:46:28 = SEND_OVER_TIME|1530690388289|Error|Too long to Send Info|execute[SWRE.java:84]<-execute[SWRE.java:104]<-actionPerformed[MainForm.java:212]|You can check Your net make sure you and Server in a same LAN
15:46:32 = SEND_OVER_TIME|1530690392229|Error|Too long to Send Info|execute[SWRE.java:84]<-execute[SWRE.java:104]<-actionPerformed[MainForm.java:212]|You can check Your net make sure you and Server in a same LAN
15:46:34 = SEND_OVER_TIME|1530690394166|Error|Too long to Send Info|execute[SWRE.java:84]<-execute[SWRE.java:104]<-actionPerformed[MainForm.java:212]|You can check Your net make sure you and Server in a same LAN
15:47:00 = SEND_OVER_TIME|1530690420332|Error|Too long to Send Info|execute[SWRE.java:84]<-execute[SWRE.java:104]<-actionPerformed[MainForm.java:212]|You can check Your net make sure you and Server in a same LAN
